Timestamp,AREA,PROCESO,% SOLIDOS,MALLA 65#,COMENTARIOS,USUARIO,Timestamp
2023-01-01 01:26:00,A0,-,42.0,35,,Glenn Guajardo Lara,2023-01-01 01:26:00
2023-01-01 01:52:00,A1,-,39.0,34,,Glenn Guajardo Lara,2023-01-01 01:52:00
2023-01-01 01:56:00,A2,-,45.0,32,,Glenn Guajardo Lara,2023-01-01 01:56:00
2023-01-01 05:46:00,A2,-,40.0,29,,Glenn Guajardo Lara,2023-01-01 05:46:00
2023-01-01 06:14:00,A0,-,39.0,31,,Glenn Guajardo Lara,2023-01-01 06:14:00
2023-01-01 08:07:00,A2,-,39.0,30,08:07 hrs.,Francisco Alderete,2023-01-01 08:07:00
2023-01-01 08:11:00,A0,-,40.0,28,08:11 hrs.,Francisco Alderete,2023-01-01 08:11:00
2023-01-01 08:32:00,A1,-,39.0,29,08:20 hrs.,Francisco Alderete,2023-01-01 08:32:00
2023-01-01 09:17:00,A1,-,41.0,32,09:17 hrs.,Francisco Alderete,2023-01-01 09:17:00
2023-01-01 10:13:00,A1,-,40.0,28,10:13 hrs.,Francisco Alderete,2023-01-01 10:13:00
2023-01-01 11:14:00,A1,-,40.0,36,11:14 hrs.,Francisco Alderete,2023-01-01 11:14:00
2023-01-01 12:09:00,A1,-,34.0,28,12:09 hrs.,Francisco Alderete,2023-01-01 12:09:00
2023-01-01 12:14:00,A0,-,39.0,29,12:14 hrs.,Francisco Alderete,2023-01-01 12:14:00
2023-01-01 13:25:00,A2,-,40.0,27,13:25 hrs.,Francisco Alderete,2023-01-01 13:25:00
2023-01-01 14:13:00,A1,-,41.0,32,14:13 hrs.,Francisco Alderete,2023-01-01 14:13:00
2023-01-01 14:28:00,A0,-,40.0,31,14:28 hrs.,Francisco Alderete,2023-01-01 14:28:00
2023-01-01 16:13:00,A1,-,41.0,35,16:12 hrs.,Francisco Alderete,2023-01-01 16:13:00
2023-01-01 16:54:00,A1,-,39.0,34,16:54 hrs.,Francisco Alderete,2023-01-01 16:54:00
2023-01-01 17:52:00,A0,-,40.0,31,17:50 hrs.,Francisco Alderete,2023-01-01 17:52:00
2023-01-01 17:58:00,A2,-,40.0,32,17:58 hrs.,Francisco Alderete,2023-01-01 17:58:00
2023-01-01 18:12:00,A1,-,40.0,30,18:12 hrs.,Francisco Alderete,2023-01-01 18:12:00
2023-01-01 19:52:00,A1,-,38.0,31,,Glenn Guajardo Lara,2023-01-01 19:52:00
2023-01-01 20:28:00,A0,-,43.0,36,,Glenn Guajardo Lara,2023-01-01 20:28:00
2023-01-01 21:43:00,A1,-,38.0,33,,Glenn Guajardo Lara,2023-01-01 21:43:00
2023-01-01 22:41:00,A2,-,41.0,28,,Glenn Guajardo Lara,2023-01-01 22:41:00
2023-01-01 22:50:00,A0,-,39.0,30,,Glenn Guajardo Lara,2023-01-01 22:50:00
2023-01-01 23:53:00,A1,-,38.0,34,,Glenn Guajardo Lara,2023-01-01 23:53:00
2023-01-02 00:05:00,A2,-,43.0,30,,Glenn Guajardo Lara,2023-01-02 00:05:00
2023-01-02 01:18:00,A0,-,35.0,28,,Glenn Guajardo Lara,2023-01-02 01:18:00
2023-01-02 02:20:00,A2,-,40.0,28,,Glenn Guajardo Lara,2023-01-02 02:20:00
2023-01-02 02:43:00,A1,-,37.0,32,,Glenn Guajardo Lara,2023-01-02 02:43:00
2023-01-02 05:31:00,A1,-,37.0,32,,Glenn Guajardo Lara,2023-01-02 05:31:00
2023-01-02 06:05:00,A0,-,38.0,31,,Glenn Guajardo Lara,2023-01-02 06:05:00
2023-01-02 06:21:00,A1,-,37.0,29,,Glenn Guajardo Lara,2023-01-02 06:21:00
2023-01-02 08:16:00,A0,-,40.0,31,08:16 hrs.,Francisco Alderete,2023-01-02 08:16:00
2023-01-02 08:19:00,A2,-,42.0,34,08:19 hrs.,Francisco Alderete,2023-01-02 08:19:00
2023-01-02 08:41:00,A1,-,36.0,30,08:30 hrs.,Francisco Alderete,2023-01-02 08:41:00
2023-01-02 09:07:00,A1,-,36.0,29,09:07 hrs.,Francisco Alderete,2023-01-02 09:07:00
2023-01-02 09:53:00,A0,-,40.0,33,09:53 hrs.,Francisco Alderete,2023-01-02 09:53:00
2023-01-02 10:13:00,A1,-,37.0,32,10:13 hrs.,Francisco Alderete,2023-01-02 10:13:00
2023-01-02 10:40:00,A2,-,45.0,34,10:40 hrs.,Francisco Alderete,2023-01-02 10:40:00
2023-01-02 11:09:00,A1,-,36.0,32,11:09 hrs.,Francisco Alderete,2023-01-02 11:09:00
2023-01-02 12:15:00,A1,-,38.0,33,12:15 hrs.,Francisco Alderete,2023-01-02 12:15:00
2023-01-02 12:18:00,A0,-,44.0,35,12:18 hrs.,Francisco Alderete,2023-01-02 12:18:00
2023-01-02 13:56:00,A0,-,37.0,29,13:45 hrs.,Francisco Alderete,2023-01-02 13:56:00
