fecha,solidos_a2,malla_a2
2023-11-28 06:21:57,43.0,33.0
2023-11-28 04:29:02,44.0,33.0
2023-11-28 01:52:48,43.0,33.0
2023-11-28 00:18:27,40.0,30.0
2023-11-27 22:21:23,42.0,32.0
2023-11-27 20:08:07,42.0,30.0
2023-11-27 18:13:09,40.0,30.0
2023-11-27 17:31:52,42.0,30.0
2023-11-27 14:04:22,40.0,30.0
2023-11-27 11:57:15,40.0,31.0
2023-11-27 11:13:55,41.0,31.0
2023-11-27 10:13:53,45.0,33.0
2023-11-27 08:49:50,41.0,28.0
2023-11-27 06:08:23,44.0,33.0
2023-11-27 04:15:18,37.0,28.0
2023-11-27 01:52:26,43.0,32.0
2023-11-26 23:21:14,42.0,30.0
2023-11-26 21:53:42,39.0,29.0
2023-11-26 20:04:34,43.0,32.0
2023-11-26 18:00:54,41.0,30.0
2023-11-26 16:09:24,42.0,33.0
2023-11-26 14:06:19,43.0,32.0
2023-11-26 12:15:51,42.0,33.0
2023-11-26 11:51:47,46.0,34.0
2023-11-26 10:13:31,44.0,33.0
2023-11-26 08:59:22,44.0,32.0
2023-11-26 06:32:12,43.0,33.0
2023-11-26 04:35:08,42.0,30.0
2023-11-26 02:13:46,44.0,32.0
2023-11-26 00:38:37,43.0,32.0
2023-11-25 22:27:08,45.0,34.0
2023-11-25 20:17:21,44.0,32.0
2023-11-25 18:03:00,44.0,32.0
2023-11-25 14:07:28,42.0,33.0
2023-11-25 08:46:57,42.0,32.0
2023-11-25 06:25:32,43.0,31.0
2023-11-25 04:39:38,46.0,34.0
2023-11-25 03:07:51,43.0,32.0
2023-11-25 01:48:26,45.0,33.0
2023-11-25 00:38:36,42.0,32.0
2023-11-24 22:25:47,43.0,32.0
2023-11-24 20:52:14,40.0,31.0
2023-11-24 19:21:46,43.0,34.0
2023-11-24 10:33:57,40.0,30.0
2023-11-24 07:37:04,43.0,31.0
2023-11-24 06:26:40,44.0,33.0
2023-11-24 04:17:36,43.0,33.0
2023-11-24 01:47:54,42.0,30.0
2023-11-23 23:34:15,43.0,32.0
2023-11-23 21:53:55,47.0,35.0
2023-11-23 19:32:40,43.0,34.0
2023-11-23 18:06:35,44.0,33.0
2023-11-23 16:52:20,43.0,32.0
2023-11-23 14:49:34,44.0,34.0
2023-11-23 12:18:10,42.0,31.0
2023-11-23 09:25:46,41.0,31.0
2023-11-23 07:49:42,43.0,32.0
2023-11-23 05:53:27,44.0,32.0
2023-11-23 04:14:32,44.0,33.0
2023-11-23 01:48:16,42.0,32.0
2023-11-22 23:48:47,45.0,32.0
2023-11-22 21:17:18,47.0,35.0
2023-11-22 20:06:09,46.0,36.0
2023-11-22 18:24:06,42.0,32.0
2023-11-22 16:43:32,44.0,35.0
2023-11-22 14:16:45,40.0,32.0
2023-11-22 12:10:24,41.0,27.0
2023-11-22 10:14:53,41.0,31.0
2023-11-22 07:50:33,42.0,30.0
2023-11-22 05:59:16,44.0,31.0
2023-11-22 04:02:48,42.0,29.0
2023-11-22 01:50:20,43.0,31.0
2023-11-21 23:59:29,44.0,32.0
2023-11-21 22:07:11,43.0,29.0
2023-11-21 20:00:35,42.0,28.0
2023-11-21 18:22:42,42.0,29.0
2023-11-21 17:03:36,43.0,31.0
2023-11-21 14:56:22,45.0,29.0
2023-11-21 12:02:54,42.0,29.0
2023-11-21 11:03:58,42.0,39.0
2023-11-21 09:59:57,42.0,32.0
2023-11-21 08:54:33,45.0,32.0
2023-11-21 07:48:13,45.0,33.0
2023-11-21 05:56:12,43.0,31.0
2023-11-21 04:02:29,43.0,30.0
2023-11-21 02:18:51,43.0,32.0
2023-11-21 00:04:34,42.0,31.0
2023-11-20 22:17:27,43.0,32.0
2023-11-20 19:55:25,42.0,30.0
2023-11-20 18:02:30,43.0,28.0
2023-11-20 17:08:03,44.0,30.0
2023-11-20 16:44:41,43.0,28.0
2023-11-20 14:18:33,46.0,34.0
2023-11-20 11:59:24,42.0,28.0
2023-11-20 09:14:38,44.0,30.0
2023-11-20 08:02:00,44.0,30.0
2023-11-20 06:02:58,42.0,29.0
2023-11-20 04:05:40,44.0,31.0
2023-11-20 02:20:19,44.0,33.0
2023-11-20 00:07:46,43.0,31.0
2023-11-19 22:05:40,43.0,30.0
2023-11-19 20:12:17,45.0,33.0
2023-11-19 18:26:13,44.0,30.0
2023-11-19 17:22:20,43.0,28.0
2023-11-19 15:15:09,44.0,30.0
2023-11-19 14:15:31,44.0,31.0
2023-11-19 12:26:20,43.0,28.0
2023-11-19 11:27:24,42.0,26.0
2023-11-19 08:53:21,44.0,31.0
2023-11-19 07:57:27,45.0,34.0
2023-11-19 05:58:34,43.0,27.0
2023-11-19 04:18:54,46.0,35.0
2023-11-19 03:02:47,35.0,26.0
2023-11-19 00:04:08,43.0,29.0
2023-11-18 22:04:37,43.0,28.0
2023-11-18 19:57:29,39.0,26.0
2023-11-18 18:02:27,39.0,20.0
2023-11-18 13:49:42,42.0,32.0
2023-11-18 09:00:19,43.0,31.0
2023-11-18 07:50:01,42.0,30.0
2023-11-18 05:59:58,42.0,28.0
2023-11-18 03:55:56,43.0,30.0
2023-11-18 02:19:07,43.0,31.0
2023-11-17 23:57:11,41.0,27.0
2023-11-17 21:59:09,41.0,28.0
2023-11-17 20:06:06,42.0,31.0
2023-11-17 18:10:33,31.0,22.0
2023-11-17 16:15:18,40.0,31.0
2023-11-17 14:54:24,42.0,27.0
2023-11-17 13:59:31,43.0,28.0
2023-11-17 11:58:33,39.0,29.0
2023-11-17 10:53:11,34.0,27.0
2023-11-17 08:49:03,40.0,26.0
2023-11-17 07:56:28,41.0,28.0
2023-11-17 06:09:30,39.0,27.0
2023-11-17 04:35:35,40.0,28.0
2023-11-17 02:11:59,41.0,30.0
2023-11-16 23:58:04,37.0,26.0
2023-11-16 20:05:55,40.0,28.0
2023-11-16 18:13:50,41.0,30.0
2023-11-16 14:05:39,38.0,28.0
2023-11-16 11:29:33,42.0,31.0
2023-11-16 10:27:13,40.0,32.0
2023-11-16 09:08:01,39.0,24.0
2023-11-16 07:49:21,43.0,32.0
2023-11-16 05:56:48,43.0,30.0
2023-11-16 04:06:18,40.0,27.0
2023-11-16 02:25:40,40.0,28.0
2023-11-16 00:05:49,42.0,30.0
2023-11-15 22:37:51,35.0,25.0
2023-11-15 20:03:15,41.0,28.0
2023-11-15 17:59:09,35.0,27.0
2023-11-15 14:40:49,35.0,24.0
2023-11-15 13:17:56,39.0,29.0
2023-11-15 11:22:13,39.0,30.0
2023-11-15 08:48:21,40.0,31.0
2023-11-15 07:46:10,39.0,29.0
2023-11-15 06:31:55,37.0,27.0
2023-11-15 04:11:45,44.0,33.0
2023-11-15 01:28:54,42.0,31.0
2023-11-15 00:03:15,43.0,32.0
2023-11-14 22:45:05,42.0,32.0
2023-11-14 21:34:07,41.0,28.0
2023-11-14 21:00:35,40.0,29.0
2023-11-14 16:29:25,40.0,25.0
2023-11-14 14:20:24,42.0,26.0
2023-11-14 11:45:44,42.0,26.0
2023-11-14 10:00:30,41.0,27.0
2023-11-14 08:12:20,43.0,28.0
2023-11-14 00:58:49,45.0,32.0
2023-11-13 22:47:05,41.0,29.0
2023-11-13 21:23:30,42.0,30.0
2023-11-13 20:26:28,43.0,29.0
2023-11-13 17:48:13,37.0,24.0
2023-11-13 16:19:35,38.0,23.0
2023-11-13 14:04:06,45.0,31.0
2023-11-13 11:56:57,43.0,33.0
2023-11-13 10:20:16,43.0,30.0
2023-11-13 08:52:07,38.0,29.0
2023-11-13 04:54:31,42.0,31.0
2023-11-13 03:49:17,44.0,31.0
2023-11-13 02:01:33,43.0,32.0
2023-11-13 01:08:21,45.0,33.0
2023-11-13 00:38:09,43.0,32.0
2023-11-12 20:55:27,40.0,26.0
2023-11-12 20:18:44,36.0,25.0
2023-11-12 17:25:14,36.0,19.0
2023-11-12 15:23:01,28.0,13.0
2023-11-12 11:46:15,40.0,25.0
2023-11-12 10:00:02,44.0,27.0
2023-11-12 08:23:45,40.0,27.0
2023-11-12 06:20:16,43.0,31.0
2023-11-12 03:44:33,44.0,32.0
2023-11-12 01:50:58,49.0,35.0
2023-11-11 23:38:18,46.0,32.0
2023-11-11 21:16:54,42.0,30.0
2023-11-11 20:08:02,46.0,33.0
2023-11-11 17:12:54,40.0,25.0
2023-11-11 16:21:04,39.0,25.0
2023-11-11 13:49:56,40.0,25.0
2023-11-11 11:52:15,41.0,27.0
2023-11-11 10:14:43,39.0,25.0
2023-11-11 07:56:48,36.0,22.0
2023-11-11 06:08:23,42.0,30.0
2023-11-11 04:02:14,42.0,32.0
2023-11-10 23:23:48,38.0,28.0
2023-11-10 21:25:30,43.0,32.0
2023-11-10 19:49:24,44.0,31.0
2023-11-10 18:36:56,36.0,25.0
2023-11-10 16:43:18,43.0,33.0
2023-11-10 13:52:16,41.0,29.0
2023-11-10 12:29:16,36.0,25.0
2023-11-10 10:14:51,39.0,28.0
2023-11-10 08:08:22,42.0,27.0
2023-11-10 06:18:32,48.0,33.0
2023-11-10 05:26:09,42.0,30.0
2023-11-10 03:42:15,43.0,32.0
2023-11-10 02:17:27,42.0,27.0
2023-11-10 01:51:43,47.0,32.0
2023-11-10 00:29:32,42.0,31.0
2023-11-10 00:04:37,46.0,33.0
2023-11-09 20:23:51,42.0,30.0
2023-11-09 19:46:14,50.0,35.0
2023-11-09 18:36:02,40.0,27.0
2023-11-09 17:14:31,47.0,34.0
2023-11-09 16:25:28,42.0,31.0
2023-11-09 12:27:12,38.0,26.0
2023-11-09 10:38:07,39.0,25.0
2023-11-09 08:19:21,40.0,27.0
2023-11-09 06:22:24,41.0,31.0
2023-11-09 05:10:33,44.0,32.0
2023-11-09 01:52:52,41.0,31.0
2023-11-09 00:12:10,41.0,31.0
2023-11-08 22:43:19,40.0,28.0
2023-11-08 20:20:11,47.0,31.0
2023-11-08 16:17:06,38.0,29.0
2023-11-08 14:30:07,44.0,35.0
2023-11-08 12:04:38,43.0,35.0
2023-11-08 10:12:00,42.0,34.0
2023-11-08 07:58:18,40.0,30.0
2023-11-08 05:28:37,44.0,31.0
2023-11-08 03:07:01,45.0,32.0
2023-11-08 02:04:08,46.0,35.0
2023-11-08 00:04:46,44.0,30.0
2023-11-07 22:15:49,45.0,31.0
2023-11-07 21:05:27,45.0,29.0
2023-11-07 20:16:28,44.0,33.0
2023-11-07 17:57:38,44.0,32.0
2023-11-07 16:19:02,43.0,31.0
2023-11-07 14:01:58,43.0,28.0
2023-11-07 11:56:09,45.0,32.0
2023-11-07 09:53:01,42.0,29.0
2023-11-07 07:55:27,46.0,35.0
2023-11-07 06:02:34,44.0,33.0
2023-11-07 04:19:02,41.0,31.0
2023-11-07 03:19:34,43.0,33.0
2023-11-07 02:02:52,40.0,29.0
2023-11-07 00:52:35,41.0,30.0
2023-11-07 00:02:35,41.0,30.0
2023-11-06 23:10:19,40.0,29.0
2023-11-06 21:13:17,39.0,32.0
2023-11-06 20:49:51,40.0,31.0
2023-11-06 17:53:12,38.0,27.0
2023-11-06 15:48:17,40.0,28.0
2023-11-06 13:54:04,38.0,29.0
2023-11-06 11:49:06,42.0,32.0
2023-11-06 09:52:39,43.0,33.0
2023-11-06 07:57:50,41.0,31.0
2023-11-06 06:07:25,41.0,31.0
2023-11-06 05:11:37,39.0,26.0
2023-11-06 02:25:22,41.0,28.0
2023-11-06 00:09:35,40.0,29.0
2023-11-05 23:01:56,41.0,31.0
2023-11-05 22:08:29,40.0,29.0
2023-11-05 21:02:34,44.0,31.0
2023-11-05 20:17:08,44.0,33.0
2023-11-05 16:10:15,43.0,28.0
2023-11-05 13:59:29,44.0,32.0
2023-11-05 11:51:04,39.0,28.0
2023-11-05 10:07:59,43.0,31.0
2023-11-05 07:55:34,39.0,29.0
2023-11-05 06:05:13,39.0,27.0
2023-11-05 05:05:08,40.0,27.0
2023-11-05 03:05:42,40.0,28.0
2023-11-05 02:19:01,39.0,29.0
2023-11-05 00:21:15,38.0,27.0
2023-11-04 20:46:00,42.0,32.0
2023-11-04 19:31:31,41.0,31.0
2023-11-04 18:24:28,43.0,31.0
2023-11-04 16:01:22,44.0,32.0
2023-11-04 14:23:06,46.0,33.0
2023-11-04 11:50:15,42.0,29.0
2023-11-04 09:53:01,39.0,28.0
2023-11-04 07:56:26,38.0,29.0
2023-11-04 03:25:20,37.0,26.0
2023-11-04 02:14:18,38.0,28.0
2023-11-04 01:37:52,41.0,27.0
2023-11-03 22:57:04,37.0,26.0
2023-11-03 22:05:53,39.0,27.0
2023-11-03 20:56:35,41.0,24.0
2023-11-03 20:03:18,40.0,25.0
2023-11-03 18:03:00,44.0,32.0
2023-11-03 14:20:46,39.0,31.0
2023-11-03 13:50:25,36.0,27.0
2023-11-03 12:01:17,40.0,29.0
2023-11-03 07:49:51,38.0,30.0
2023-11-03 06:04:51,38.0,30.0
2023-11-03 03:21:19,40.0,31.0
2023-11-03 02:23:14,38.0,29.0
2023-11-03 01:27:16,37.0,29.0
2023-11-02 22:08:51,38.0,25.0
2023-11-02 20:24:09,40.0,27.0
2023-11-02 19:49:23,45.0,33.0
2023-11-02 17:54:13,40.0,28.0
2023-11-02 16:18:24,42.0,32.0
2023-11-02 13:56:08,41.0,28.0
2023-11-02 11:50:42,40.0,28.0
2023-11-02 10:08:27,38.0,29.0
2023-11-02 07:53:43,39.0,27.0
2023-11-02 04:58:39,38.0,25.0
2023-11-02 04:08:40,39.0,28.0
2023-11-02 02:12:05,39.0,25.0
2023-11-02 00:05:51,42.0,31.0
2023-11-01 21:56:27,40.0,31.0
2023-11-01 20:56:10,37.0,22.0
2023-11-01 19:45:13,37.0,23.0
2023-11-01 18:01:26,44.0,35.0
2023-11-01 15:47:08,42.0,33.0
2023-11-01 14:21:27,41.0,29.0
2023-11-01 11:54:13,38.0,27.0
2023-11-01 10:09:22,41.0,27.0
2023-11-01 07:56:44,40.0,31.0
2023-11-01 06:21:24,39.0,27.0
2023-11-01 04:09:08,39.0,28.0
2023-11-01 02:19:57,41.0,31.0
2023-11-01 00:23:22,40.0,29.0
2023-10-31 21:35:04,40.0,31.0
2023-10-31 20:14:01,40.0,29.0
2023-10-31 17:57:06,36.0,23.0
2023-10-31 15:13:54,40.0,30.0
2023-10-31 14:11:28,39.0,30.0
2023-10-31 11:20:13,40.0,28.0
2023-10-31 09:55:30,40.0,29.0
2023-10-31 08:11:08,44.0,32.0
2023-10-31 06:12:42,44.0,33.0
2023-10-31 04:21:15,43.0,31.0
2023-10-31 01:50:40,42.0,32.0
2023-10-31 00:18:17,40.0,30.0
2023-10-31 00:17:44,40.0,30.0
2023-10-30 21:26:29,44.0,33.0
2023-10-30 19:59:16,42.0,30.0
2023-10-30 15:28:01,44.0,28.0
2023-10-30 15:20:41,45.0,33.0
2023-10-30 13:22:40,44.0,31.0
2023-10-30 11:52:47,38.0,29.0
2023-10-30 09:18:39,41.0,31.0
2023-10-30 08:02:51,38.0,30.0
2023-10-30 06:19:40,44.0,32.0
2023-10-30 04:32:13,45.0,34.0
2023-10-30 02:01:38,40.0,28.0
2023-10-30 00:07:54,43.0,32.0
2023-10-29 22:13:56,43.0,33.0
2023-10-29 20:06:17,43.0,31.0
2023-10-29 17:38:04,43.0,31.0
2023-10-29 16:36:59,46.0,36.0
2023-10-29 15:39:51,42.0,31.0
2023-10-29 13:54:52,45.0,32.0
2023-10-29 12:22:40,44.0,33.0
2023-10-29 11:24:09,47.0,33.0
2023-10-29 10:21:37,41.0,31.0
2023-10-29 08:27:11,41.0,30.0
2023-10-29 06:27:33,45.0,32.0
2023-10-29 04:41:39,47.0,34.0
2023-10-29 01:59:11,43.0,32.0
2023-10-29 00:38:41,44.0,33.0
2023-10-28 22:36:49,43.0,32.0
2023-10-28 20:37:22,41.0,29.0
2023-10-28 16:55:46,45.0,33.0
2023-10-28 13:25:10,44.0,33.0
2023-10-28 12:44:53,48.0,34.0
2023-10-28 10:15:38,44.0,33.0
2023-10-28 08:33:14,40.0,30.0
2023-10-28 06:01:36,41.0,30.0
2023-10-28 04:45:07,42.0,31.0
2023-10-28 02:41:12,40.0,29.0
2023-10-28 00:04:16,39.0,28.0
2023-10-27 21:55:02,40.0,30.0
2023-10-27 19:47:20,41.0,29.0
2023-10-27 16:51:40,41.0,31.0
2023-10-27 13:07:13,44.0,32.0
2023-10-27 12:23:18,43.0,31.0
2023-10-27 10:45:34,36.0,24.0
2023-10-27 07:56:46,42.0,31.0
2023-10-27 07:55:18,42.0,31.0
2023-10-27 04:26:26,44.0,30.0
2023-10-27 01:55:05,44.0,32.0
2023-10-27 00:16:01,43.0,33.0
